Name,Club,Nation,League,Rating,Main_Position,Alternate_Positions,Card_Version,Run_Style,Price,Price_Variation,Skills_Star,Weak_Foot_Star,Attack_Workrate,Defense_Workrate,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defense / Speed,Physical / Positioning,Height,BodyType,Popularity,Base_Stats,Ingame_Stats
Filipe Soares,PAOK,Portugal,Hellas Liga (GRE 1),70,CM,0,Normal,Controlled,450.0,3,0,3,H,M,66.0,67,68,72,56,67,"180cm | 5'11""",Average  (73kg),2,396,1876
Eduardo Filipe Quaresma,TSG Hoffenheim,Portugal,Bundesliga,70,CB,0,Normal,Controlled,350.0,2,0,3,M,M,58.0,31,47,56,70,70,"184cm | 6'0""",Average  (76kg),8,332,1541
Patrick William,Rio Ave,Brazil,Liga NOS (POR 1),70,CB,0,Normal,Controlled,350.0,2,0,3,H,H,57.0,64,63,56,69,75,"185cm | 6'1""",High & Average  (78kg),2,384,1859
Ayase Ueda,Cercle Brugge,Japan,1A Pro League (BEL 1),70,ST,CF,Normal,Controlled,400.0,0,2,3,M,L,82.0,71,52,64,27,68,"182cm | 6'0""",Average  (76kg),8,364,1712
Lucas González,Independiente,Argentina,CONMEBOL Sudamericana,70,CM,CDM,Sudamericana,Controlled,0.0,0,3,3,H,H,74.0,57,71,74,57,67,"169cm | 5'7""",Short and Balanced   (68kg),0,400,1895
Hjalmar Ekdal,Djurgårdens IF,Sweden,Allsvenskan (SWE 1),70,CB,0,Normal,Lengthy,0.0,2,0,2,M,M,66.0,33,47,56,71,71,"188cm | 6'2""",High & Average  (76kg),9,344,1557
Shinta Appelkamp,Düsseldorf,Germany,Bundesliga 2 (GER 2),70,CAM,"CM,LM",Normal,Explosive,350.0,0,3,3,M,M,69.0,56,68,75,37,46,"175cm | 5'9""",Average  (70kg),12,351,1676
Junior Hernández,Deportes Tolima,Colombia,CONMEBOL Libertadores,70,LB,"LWB,LM",Libertadores,Explosive,1300.0,0,3,3,M,M,78.0,56,63,65,65,55,"172cm | 5'8""",Average  (69kg),-2,382,1794
Moisés Caicedo,Brighton,Ecuador,Premier League,70,CM,0,Normal,Controlled,400.0,3,0,3,H,H,73.0,61,66,69,71,69,"178cm | 5'10""",Average  (71kg),80,409,1929
Alistair Johnston,Impact Montréal,Canada,Major League Soccer,70,RM,"RWB,CB,RW",Normal,Controlled,0.0,0,2,2,M,H,79.0,51,65,68,68,74,"180cm | 5'11""",Lean  (77kg),15,405,1886
Ezequiel Cañete,Unión,Argentina,CONMEBOL Sudamericana,70,CM,0,Sudamericana,Controlled,3500.0,3,0,3,H,M,71.0,69,71,70,50,68,"175cm | 5'9""",Average  (74kg),0,399,1910
Mohamed-Ali Cho,Real Sociedad,France,LaLiga Santander,70,ST,CF,Normal,Controlled,300.0,0,3,3,H,M,81.0,68,60,76,26,56,"182cm | 6'0""",Average  (73kg),14,367,1668
Cameron Puertas,Royale Union SG,Switzerland,1A Pro League (BEL 1),70,CM,CAM,Normal,Controlled,350.0,0,3,4,H,H,77.0,66,69,71,67,75,"178cm | 5'10""",Average  (77kg),5,425,1961
Andrea Carboni,AC Monza,Italy,Serie A TIM,70,CB,0,Normal,Lengthy,2400.0,2,0,2,M,M,56.0,28,54,61,71,69,"185cm | 6'1""",High & Average+  (80kg),3,339,1570
Tyrhys Dolan,Blackburn Rovers,England,EFL Championship (ENG 2),70,RW,"RM,ST",Normal,Explosive,400.0,0,4,3,H,M,82.0,60,63,74,42,50,"164cm | 5'5""",Short & Lean  (63kg),8,371,1761
Timothée Pembélé,Paris SG,France,Ligue 1,70,RB,"RWB,CB",Normal,Controlled,700.0,0,3,3,H,M,87.0,49,63,71,64,64,"182cm | 6'0""",Lean  (76kg),56,398,1806
Oscar Taty Maritu,Shijiazhuang,Congo DR,Chinese FA Super L. (CHN 1),70,ST,CF,Normal,Controlled,400.0,0,2,3,M,L,82.0,70,41,67,19,63,"182cm | 6'0""",Stocky  (80kg),2,342,1572
Billal Brahimi,OGC Nice,France,Ligue 1,70,LM,"ST,LW",Normal,Controlled,650.0,0,3,3,H,M,77.0,63,65,73,29,64,"183cm | 6'0""",Average  (73kg),4,371,1715
Juan Iglesias,Getafe CF,Spain,LaLiga Santander,70,RB,"RWB,RM",Normal,Controlled,550.0,0,3,3,M,M,61.0,37,60,62,70,57,"185cm | 6'1""",High & Average  (76kg),-5,347,1638
Ramiro Enrique,Banfield,Argentina,CONMEBOL Sudamericana,70,ST,"CF,LW",Sudamericana,Explosive,6000.0,0,3,3,H,H,79.0,71,60,70,26,63,"171cm | 5'7""",Average  (68kg),0,369,1752
Cristian Medina,Boca Juniors,Argentina,CONMEBOL Libertadores,70,CM,0,Libertadores,Controlled,350.0,3,0,3,M,H,69.0,59,68,72,64,68,"178cm | 5'10""",Lean  (70kg),8,400,1878
Dario Špikić,Dinamo Zagreb,Croatia,Liga Hrvatska (CRO 1),70,RW,"RM,LW",Normal,Controlled,0.0,0,4,4,M,M,84.0,67,64,75,47,61,"183cm | 6'0""",Average  (79kg),4,398,1835
Kevin Mier,Atl. Nacional,Colombia,Liga Dimayor II,70,GK,0,Normal,Controlled,0.0,1,0,1,M,M,69.0,70,67,69,43,68,"190cm | 6'3""",High & Average+  (73kg),2,386,768
Anastasios Douvikas,FC Utrecht,Greece,Eredivisie,70,ST,CF,Normal,Controlled,450.0,0,3,3,H,M,81.0,67,61,69,34,71,"186cm | 6'1""",High & Average  (76kg),14,383,1781
Quentin Merlin,FC Nantes,France,Ligue 1,70,LB,"LWB,LM",Normal,Controlled,500.0,0,3,2,H,M,70.0,59,69,75,64,58,"173cm | 5'8""",Average  (67kg),1,395,1910
Ismaël Kandouss,Royale Union SG,Morocco,1A Pro League (BEL 1),70,CB,0,Normal,Lengthy,350.0,2,0,3,M,M,58.0,29,47,51,70,76,"192cm | 6'4""",High & Average  (83kg),4,331,1494
Levi Colwill,Brighton,England,Premier League,70,CB,0,Normal,Lengthy,350.0,2,0,3,H,M,69.0,34,58,62,69,73,"191cm | 6'3""",High & Average  (83kg),22,365,1690
Nikola Vasilj,FC St. Pauli,Bosnia and Herzegovina,Bundesliga 2 (GER 2),70,GK,0,Normal,Controlled,400.0,1,0,2,M,M,68.0,66,64,71,34,71,"193cm | 6'4""",High & Average+  (89kg),3,374,786
Nikola Katic,FC Zürich,Croatia,Raiffeisen Super L. (SUI 1),70,CB,0,Normal,Lengthy,400.0,2,0,2,M,M,66.0,35,45,54,67,71,"194cm | 6'4""",High & Average  (80kg),1,338,1503
Dong Kyung Lee,Hansa Rostock,Korea Republic,Bundesliga 2 (GER 2),70,CM,CAM,Normal,Controlled,350.0,0,4,5,M,M,74.0,63,72,71,58,67,"175cm | 5'9""",Average  (69kg),3,405,1922
Makhtar Gueye,R. Zaragoza,Senegal,LaLiga SmartBank (ESP 2),70,ST,CF,Normal,Lengthy,350.0,0,2,2,M,L,64.0,71,56,62,29,81,"195cm | 6'5""",High & Average  (91kg),5,363,1671
Ante Palaversa,Troyes,Croatia,Ligue 1,70,CM,CDM,Normal,Lengthy,400.0,0,3,3,H,H,58.0,66,68,69,66,72,"187cm | 6'2""",High & Average+  (77kg),2,399,1891
Theocharis Tsingaras,Toulouse FC,Greece,Ligue 1,70,CDM,CM,Normal,Controlled,300.0,0,2,3,L,M,70.0,57,64,66,68,68,"175cm | 5'9""",Average  (70kg),1,393,1853
Javier Martínez Calvo,Albacete Balompié,Spain,LaLiga SmartBank (ESP 2),70,CM,RM,Normal,Controlled,0.0,0,4,4,M,M,66.0,63,63,70,57,67,"180cm | 5'11""",Average  (74kg),3,386,1802
Marcos Paulo,CD Mirandés,Portugal,LaLiga SmartBank (ESP 2),70,LM,"CAM,ST,LW",Normal,Controlled,5100.0,0,3,3,M,M,70.0,67,67,69,43,52,"186cm | 6'1""",High & Average+  (75kg),2,368,1706
El Bilal Touré,UD Almería,Mali,LaLiga Santander,70,ST,"CF,LW",Normal,Controlled,500.0,0,3,3,H,M,71.0,70,57,69,22,64,"185cm | 6'1""",High & Average  (72kg),21,353,1656
Gianluca Frabotta,Frosinone,Italy,Italy Serie B (2),70,LB,LWB,Normal,Controlled,400.0,0,2,3,H,M,67.0,55,67,68,67,64,"187cm | 6'2""",High & Average+  (70kg),0,388,1798
Nicolás Fernández Mercau,Elche CF,Argentina,LaLiga Santander,70,LWB,"LB,LM",Normal,Explosive,350.0,0,4,3,H,M,83.0,63,65,75,61,63,"172cm | 5'8""",Average  (66kg),2,410,1919
Robbie Brady,Preston,Republic of Ireland,EFL Championship (ENG 2),70,RM,"LM,RW",Normal,Controlled,350.0,0,4,4,M,M,63.0,69,73,72,65,57,"176cm | 5'9""",Average  (69kg),6,399,1973
Michele Camporese,Reggina,Italy,Italy Serie B (2),70,CB,0,Normal,Lengthy,500.0,2,0,3,H,M,68.0,30,38,53,72,72,"186cm | 6'1""",High & Average+  (75kg),1,333,1508
Toni Leistner,Sint-Truiden,Germany,1A Pro League (BEL 1),70,CB,0,Normal,Controlled,350.0,2,0,3,L,H,53.0,37,51,49,68,78,"190cm | 6'3""",High & Stocky  (87kg),2,336,1600
Moritz Bauer,Servette FC,Austria,Raiffeisen Super L. (SUI 1),70,RB,"RWB,LB",Normal,Controlled,400.0,0,3,3,M,M,76.0,46,65,69,66,68,"181cm | 5'11""",Average  (74kg),1,390,1856
Marcus Rohdén,Frosinone,Sweden,Italy Serie B (2),70,CM,CDM,Normal,Controlled,350.0,0,3,4,H,M,74.0,66,66,70,59,80,"182cm | 6'0""",Average  (76kg),1,415,1975
Ademilson Braga Bispo Júnior,Wuhan Three Towns,Brazil,Chinese FA Super L. (CHN 1),70,ST,"LM,CF",Normal,Explosive,400.0,0,4,2,M,M,92.0,69,62,71,31,71,"176cm | 5'9""",Average  (74kg),14,396,1850
Jose Antonio Delgado Villar,Damac FC,Spain,MBS Pro League (SAU 1),70,CM,CDM,Normal,Controlled,450.0,0,3,3,M,M,69.0,63,70,72,60,63,"178cm | 5'10""",Average  (72kg),1,397,1889
Anthony Partipilo,Ternana,Italy,Italy Serie B (2),70,CAM,ST,Normal,Controlled,400.0,0,3,2,M,M,84.0,65,68,66,43,65,"181cm | 5'11""",Average  (74kg),4,391,1834
Gaspar Servio,Rosario Central ,Argentina,Primera División (ARG 1),70,GK,0,Normal,Controlled,300.0,1,0,2,M,M,70.0,69,70,71,48,66,"185cm | 6'1""",High & Average  (86kg),2,394,921
Alejandro Chumacero,Always Ready,Bolivia,CONMEBOL Libertadores,70,CM,RM,Libertadores,Controlled,10000.0,0,3,3,M,H,66.0,66,71,72,62,70,"164cm | 5'5""",Short & Lean-  (63kg),1,407,1986
Dario Melnjak,HNK Hajduk Split,Croatia,Liga Hrvatska (CRO 1),70,LB,LWB,Normal,Controlled,500.0,0,2,3,H,M,69.0,66,63,68,66,67,"179cm | 5'10""",Average  (73kg),4,399,1882
Danilo Arboleda,Al Ain FC,Colombia,United Emirates L. (UAE 1),70,CB,0,Normal,Controlled,400.0,2,0,2,L,H,42.0,24,41,43,71,77,"190cm | 6'3""",High & Average+  (83kg),2,298,1366
Thapelo Morena,Mamelodi Sundowns,South Africa,South African FL (RSA 1),70,RB,RWB,Normal,Explosive,400.0,0,3,3,H,M,82.0,60,64,72,67,50,"170cm | 5'7""",Short & Lean  (62kg),0,395,1881
Antonino La Gumina,Benevento,Italy,Italy Serie B (2),70,ST,CF,Normal,Controlled,300.0,0,3,3,H,M,78.0,71,61,69,36,69,"182cm | 6'0""",Average  (72kg),0,384,1807
Wanderson Carvalho Oliveira,Pohang Steelers,Brazil,K League 1 (KOR 1),70,RM,"LM,CAM,RW",Normal,Controlled,350.0,0,4,3,H,M,89.0,63,61,69,54,70,"172cm | 5'8""",Average  (60kg),0,406,1877
André Bukia,FC Arouca,Congo DR,Liga NOS (POR 1),70,RW,RM,Normal,Explosive,1100.0,0,3,2,M,M,85.0,65,58,75,36,56,"173cm | 5'8""",Lean  (58kg),0,375,1718
Cristian Dell'Orco,Perugia,Italy,Italy Serie B (2),70,CB,LB,Normal,Controlled,400.0,0,2,3,M,M,61.0,47,59,67,71,65,"183cm | 6'0""",Average  (75kg),-1,370,1768
Jaime Baez,Cremonese,Uruguay,Serie A TIM,70,RM,"LM,RW",Normal,Explosive,8900.0,0,3,3,M,M,73.0,65,66,72,31,55,"178cm | 5'10""",Average  (74kg),1,362,1746
Alessandro Murgia,Spal,Italy,Italy Serie B (2),70,CM,CDM,Normal,Controlled,450.0,0,3,3,M,H,41.0,64,67,68,68,60,"185cm | 6'1""",High & Average  (78kg),-1,368,1796
Dong Joon Kim,Jeju United,Korea Republic,K League 1 (KOR 1),70,GK,0,Normal,Controlled,850.0,1,0,3,M,M,71.0,68,65,73,43,68,"189cm | 6'2""",High & Average  (85kg),-1,388,888
José Luis Rodriguez,Nacional,Uruguay,CONMEBOL Libertadores,70,RB,RWB,Libertadores,Controlled,6700.0,0,2,3,H,M,82.0,45,64,70,64,68,"183cm | 6'0""",Lean  (74kg),3,393,1806
Thijs Dallinga,Toulouse FC,Netherlands,Ligue 1,70,ST,CF,Normal,Controlled,550.0,0,2,4,M,M,72.0,70,59,65,26,63,"180cm | 5'11""",Average  (70kg),21,355,1684
Ignacio Ramírez,Nacional,Uruguay,CONMEBOL Libertadores,70,ST,CF,Libertadores,Controlled,300.0,0,3,3,H,L,68.0,73,51,60,25,63,"180cm | 5'11""",Average  (75kg),2,340,1618
Joao Ortiz,Independiente,Ecuador,CONMEBOL Libertadores,70,CM,"CDM,CAM",Libertadores,Controlled,400.0,0,3,3,H,H,72.0,68,68,69,67,71,"177cm | 5'10""",Average  (70kg),-1,415,1973
Leonai Souza de Almeida,Barcelona SC,Brazil,CONMEBOL Sudamericana,70,CDM,CM,Sudamericana,Controlled,10000.0,0,2,3,M,H,64.0,62,62,66,71,73,"174cm | 5'9""",Lean  (73kg),1,398,1895
Mohamed Tijani,Viktoria Plzeň,Côte d'Ivoire,Česká Liga (CZE 1),70,CB,0,Normal,Lengthy,1800.0,2,0,4,M,M,66.0,32,52,58,67,75,"188cm | 6'2""",High & Average  (91kg),2,350,1580
Cameron Archer,Aston Villa,England,Premier League,70,ST,"CF,RW",Normal,Controlled,9500.0,0,2,4,H,L,77.0,69,53,71,25,64,"179cm | 5'10""",Average  (74kg),13,359,1693
Fabiano Parisi,Empoli,Italy,Serie A TIM,70,LB,LWB,Normal,Controlled,400.0,0,2,3,H,H,69.0,62,59,70,64,63,"178cm | 5'10""",Average  (72kg),10,387,1835
Nicolas Jackson,Villarreal CF,Senegal,LaLiga Santander,70,ST,"LM,CAM,CF",Normal,Controlled,5800.0,0,3,3,H,L,74.0,70,56,70,40,67,"186cm | 6'1""",High & Average+  (78kg),41,377,1737
Santiago Mele,Unión,Uruguay,CONMEBOL Sudamericana,70,GK,0,Sudamericana,Controlled,6900.0,1,0,2,M,M,72.0,65,62,71,41,68,"184cm | 6'0""",Average  (79kg),1,379,711
Fabio Miretti,Juventus,Italy,Serie A TIM,70,CM,CDM,Normal,Controlled,4000.0,0,3,3,M,M,72.0,53,71,74,61,62,"179cm | 5'10""",Average  (65kg),76,393,1856
João Pedro Ferreira Silva,V. Guimarães,Portugal,Liga NOS (POR 1),70,RW,"RM,LW",Normal,Explosive,350.0,0,3,2,M,H,82.0,65,61,70,30,65,"179cm | 5'10""",Lean  (73kg),3,373,1745
Martin Jedlicka,Viktoria Plzeň,Czech Republic,Česká Liga (CZE 1),70,GK,0,Normal,Controlled,3800.0,1,0,2,M,M,68.0,69,66,71,35,67,"187cm | 6'2""",High & Average  (83kg),-1,376,745
Sébastien Thill,Hansa Rostock,Luxembourg,Bundesliga 2 (GER 2),70,CAM,0,Normal,Controlled,350.0,3,0,3,M,M,67.0,67,69,72,38,59,"178cm | 5'10""",Lean  (72kg),10,372,1816
Siyethemba Sithembe,Kaizer Chiefs,South Africa,South African FL (RSA 1),70,CAM,"CM,RW",Normal,Explosive,350.0,0,2,5,M,M,80.0,57,73,72,55,63,"170cm | 5'7""",Short & Lean-  (62kg),0,400,1927
Sávio Moreira de Oliveira,PSV,Brazil,Eredivisie,70,RW,RM,Normal,Controlled,800.0,0,4,3,M,M,67.0,63,70,72,30,42,"176cm | 5'9""",Lean  (71kg),61,344,1641
Khuliso Mudau,Mamelodi Sundowns,South Africa,South African FL (RSA 1),70,RB,RWB,Normal,Controlled,350.0,0,2,2,H,M,83.0,46,59,68,62,68,"181cm | 5'11""",Average  (73kg),2,386,1786
Sung Yun Gu,Daegu FC,Korea Republic,K League 1 (KOR 1),70,GK,0,Normal,Controlled,5000.0,1,0,2,M,M,70.0,64,61,74,21,67,"195cm | 6'5""",High & Average+  (82kg),0,357,732
Arthur Gomes Lourenço,Sporting CP,Brazil,Liga NOS (POR 1),70,LW,"LM,RW",Normal,Explosive,350.0,0,3,4,H,L,75.0,64,66,70,23,47,"173cm | 5'8""",Lean  (68kg),9,345,1654
Luca Vido,Palermo,Italy,Italy Serie B (2),70,ST,CF,Normal,Controlled,400.0,0,3,3,M,M,67.0,69,62,71,34,64,"182cm | 6'0""",Lean  (75kg),2,367,1773
Yonathan Cabral,Atlético Tucumán,Argentina,Primera División (ARG 1),70,CB,0,non-rare,Controlled,350.0,2,0,2,M,M,41.0,29,46,44,71,70,"188cm | 6'2""",High & Average  (84kg),1,301,1415
Dong Jun Lee,Jeonbuk Hyundai,Korea Republic,K League 1 (KOR 1),70,RM,RW,Rare,Explosive,350.0,0,4,5,H,M,82.0,62,56,77,43,60,"173cm | 5'8""",Average  (64kg),-2,380,1763
Juan José Nieto Zarzoso,SD Huesca,Spain,LaLiga SmartBank (ESP 2),70,RB,RWB,non-rare,Controlled,400.0,0,3,3,H,L,79.0,62,64,70,63,69,"175cm | 5'9""",Average  (71kg),0,407,1901
Cole Bassett,Colorado Rapids,United States,Major League Soccer,70,CAM,CM,non-rare,Controlled,300.0,0,3,4,H,M,68.0,60,66,69,58,65,"180cm | 5'11""",Average  (67kg),0,386,1794
Alessandro Salvi,Cittadella,Italy,Italy Serie B (2),70,RB,"RWB,LB,RM",non-rare,Controlled,350.0,0,3,3,H,M,74.0,59,64,67,67,75,"183cm | 6'0""",Lean  (76kg),0,406,1920
Jonathan Sandoval,Argentinos Jrs.,Uruguay,Primera División (ARG 1),70,RB,RWB,non-rare,Controlled,0.0,0,2,3,H,M,67.0,53,58,64,68,74,"179cm | 5'10""",Stocky  (77kg),0,384,1790
Matías Vera,Argentinos Jrs.,Argentina,Primera División (ARG 1),70,CDM,CM,non-rare,Controlled,1400.0,0,2,3,L,H,67.0,45,65,63,66,67,"173cm | 5'8""",Average  (69kg),0,373,1805
Paul-José Mpoku,Incheon United,Congo DR,K League 1 (KOR 1),70,CAM,"RM,RW",Rare,Controlled,450.0,0,4,4,H,M,72.0,71,73,70,46,68,"180cm | 5'11""",Average  (79kg),-1,400,1943
Alessandro Micai,Cosenza,Italy,Italy Serie B (2),70,GK,0,Rare,Controlled,350.0,1,0,2,M,M,67.0,70,64,74,47,64,"186cm | 6'1""",High & Average  (77kg),-1,386,856
Charlie Austin,Swindon Town,England,EFL League Two (ENG 4),70,ST,CF,Rare,Controlled,850.0,0,2,2,M,L,48.0,73,56,65,36,65,"188cm | 6'2""",High & Average  (84kg),7,343,1714
Jaime Baez,Frosinone,Uruguay,Italy Serie B (2),70,RM,"LM,RW",non-rare,Explosive,400.0,0,3,3,M,M,73.0,65,66,72,31,55,"178cm | 5'10""",Average  (74kg),0,362,1746
Nicklas Helenius,Aalborg BK,Denmark,3F Superliga (DEN 1),70,ST,CF,non-rare,Lengthy,600.0,0,3,3,M,L,60.0,70,56,65,33,71,"196cm | 6'5""",High & Average+  (85kg),0,355,1645
Brüls,Zulte Waregem,Belgium,1A Pro League (BEL 1),70,CAM,"RM,CM",non-rare,Controlled,350.0,0,3,3,M,M,63.0,65,72,72,53,60,"179cm | 5'10""",Average  (74kg),1,385,1874
Luca Fiordilino,Südtirol,Italy,Italy Serie B (2),70,CM,0,Rare,Explosive,350.0,3,0,4,M,H,83.0,58,69,72,68,69,"177cm | 5'10""",Lean  (68kg),1,419,1975
Bo Kyung Kim,Suwon Samsung,Korea Republic,K League 1 (KOR 1),70,CM,"RM,CAM",non-rare,Explosive,350.0,0,4,4,H,M,74.0,65,70,73,59,66,"176cm | 5'9""",Average  (72kg),0,407,1952
Emiliano Marcondes,FC Nordsjælland,Denmark,3F Superliga (DEN 1),70,CAM,CM,non-rare,Controlled,450.0,0,3,3,H,M,72.0,68,68,71,42,65,"182cm | 6'0""",Average  (75kg),0,386,1832
André Bukia,Al Batin,Congo DR,MBS Pro League (SAU 1),70,RW,RM,non-rare,Explosive,1400.0,0,3,2,M,M,85.0,65,58,75,36,56,"173cm | 5'8""",Lean  (58kg),1,375,1718
Nathan Baxter,Chelsea,England,Premier League,70,GK,0,Rare,Controlled,400.0,1,0,2,M,M,70.0,69,66,70,41,72,"188cm | 6'2""",High & Average  (76kg),2,388,765
Máximo Perrone,Manchester City,Argentina,Premier League,70,CM,CDM,Rare,Controlled,550.0,0,2,3,M,M,62.0,54,63,73,69,60,"178cm | 5'10""",Lean  (64kg),22,381,1749
Azzedine Ounahi,OM,Morocco,Ligue 1,70,CM,0,non-rare,Controlled,2800.0,3,0,3,H,H,57.0,61,68,70,61,66,"182cm | 6'0""",Lean  (62kg),12,383,1827
Salvatore Molina,Bari,Italy,Italy Serie B (2),70,RM,"LM,RW",non-rare,Controlled,400.0,0,3,3,M,M,73.0,50,68,72,61,65,"177cm | 5'10""",Lean  (74kg),1,389,1852
Alin To?ca,Benevento,Romania,Italy Serie B (2),70,CB,"LB,LWB",non-rare,Controlled,400.0,0,2,3,M,M,70.0,46,60,61,70,70,"181cm | 5'11""",Average  (78kg),1,377,1734
Ramiro Enrique,Orlando City,Argentina,Major League Soccer,70,ST,"CF,LW",non-rare,Explosive,400.0,0,3,3,H,H,79.0,71,60,70,26,63,"171cm | 5'7""",Average  (68kg),0,369,1752
Kevin Broll,Dynamo Dresden,Germany,3. Liga (GER 3),70,GK,0,Rare,Controlled,400.0,1,0,3,M,M,72.0,65,48,74,15,68,"186cm | 6'1""",High & Average  (85kg),4,342,661
Javier Martínez Calvo,SD Huesca,Spain,LaLiga SmartBank (ESP 2),70,CM,RM,non-rare,Controlled,450.0,0,4,4,M,M,66.0,63,63,70,57,67,"180cm | 5'11""",Average  (74kg),0,386,1802
Francesco Forte,Ascoli,Italy,Italy Serie B (2),70,ST,CF,non-rare,Controlled,450.0,0,2,3,M,M,54.0,72,62,67,32,71,"187cm | 6'2""",High & Average+  (75kg),1,358,1739
Oliver Berg,Djurgårdens IF,Norway,Allsvenskan (SWE 1),70,CF,"CM,ST",non-rare,Controlled,500.0,0,3,3,H,H,75.0,68,65,69,54,79,"178cm | 5'10""",Average  (74kg),0,410,1910
Néstor Breitenbruch,Arsenal,Argentina,Primera División (ARG 1),70,CB,RB,Rare,Controlled,350.0,0,2,3,H,H,77.0,40,60,65,68,77,"178cm | 5'10""",Average  (76kg),0,387,1786
Quentin Boisgard,Pau FC,France,Ligue 2 (FRA 2),70,CM,"LM,LW",non-rare,Controlled,500.0,0,3,4,M,M,56.0,63,72,71,55,67,"174cm | 5'9""",Average  (75kg),1,384,1847
Julian Araujo,FC Barcelona,Mexico,LaLiga Santander,70,RB,"RWB,RM",non-rare,Explosive,1800.0,0,2,2,H,H,80.0,33,61,68,65,70,"175cm | 5'9""",Lean  (70kg),36,377,1733
Matías Cóccaro,Huracán,Uruguay,Primera División (ARG 1),70,ST,CF,Sudamericana,Controlled,0.0,0,3,2,H,L,67.0,72,46,67,29,63,"178cm | 5'10""",Average  (73kg),1,344,1609
Kevin Mier,Atl. Nacional,Colombia,Liga Dimayor II,70,GK,0,Libertadores,Controlled,0.0,1,0,1,M,M,69.0,70,67,69,43,68,"190cm | 6'3""",High & Average+  (73kg),0,386,768
Fernando Torrent,Huracán,Argentina,Primera División (ARG 1),70,RB,RWB,Sudamericana,Controlled,0.0,0,3,3,H,M,78.0,49,61,69,63,72,"173cm | 5'8""",Average  (72kg),0,392,1814
Federico Fattori,Huracán,Argentina,Primera División (ARG 1),70,CDM,CM,Sudamericana,Controlled,0.0,0,3,3,M,M,69.0,54,67,68,64,69,"175cm | 5'9""",Lean  (70kg),1,391,1820
Junior Hernández,Deportes Tolima,Colombia,CONMEBOL Libertadores,70,LB,"LWB,LM",Sudamericana,Explosive,0.0,0,3,3,M,M,78.0,56,63,65,65,55,"172cm | 5'8""",Average  (69kg),0,382,1794
Facundo Pérez,Lanús,Argentina,CONMEBOL Sudamericana,70,CM,RM,non-rare,Controlled,400.0,0,3,4,M,M,70.0,61,68,69,65,64,"170cm | 5'7""",Short and Balanced   (65kg),0,397,1872
Julián Quiñónes,Deportes Tolima,Colombia,CONMEBOL Libertadores,70,CB,0,Sudamericana,Lengthy,0.0,2,0,2,M,H,53.0,35,47,43,70,80,"195cm | 6'5""",High & Average+  (85kg),0,328,1508
Federico Vera,Unión,Argentina,CONMEBOL Sudamericana,70,RB,"RWB,RW",non-rare,Explosive,900.0,0,3,3,H,M,83.0,37,55,72,65,67,"178cm | 5'10""",Average  (75kg),1,379,1728
Juan Caicedo,Deportes Tolima,Colombia,CONMEBOL Libertadores,70,ST,CF,Sudamericana,Lengthy,0.0,0,2,3,H,L,64.0,70,60,63,33,66,"180cm | 5'11""",Average  (80kg),0,356,1686
Kevin Zenón,Unión,Argentina,CONMEBOL Sudamericana,70,LM,"RM,LW",non-rare,Explosive,300.0,0,4,4,M,M,82.0,67,65,73,42,55,"177cm | 5'10""",Average  (70kg),0,384,1803
Héctor Fertoli,Racing Club,Argentina,CONMEBOL Sudamericana,70,LM,"RM,CAM,LW",Libertadores,Explosive,0.0,0,3,3,M,M,86.0,63,65,72,42,61,"174cm | 5'9""",Lean  (63kg),0,389,1819
Opazo,Racing Club,Chile,CONMEBOL Sudamericana,70,RB,"RWB,LB",Libertadores,Controlled,0.0,0,3,4,H,M,78.0,57,65,71,62,71,"169cm | 5'7""",Short & Lean-  (72kg),2,404,1895
Jonathan Galván,Racing Club,Argentina,CONMEBOL Sudamericana,70,CB,CDM,Libertadores,Lengthy,0.0,0,2,3,H,H,62.0,55,65,62,66,82,"183cm | 6'0""",Stocky  (84kg),1,392,1845
Johan Carbonero,Gimnasia,Colombia,Primera División (ARG 1),70,LW,"LM,RW",non-rare,Explosive,0.0,0,3,3,M,M,88.0,64,58,74,28,63,"170cm | 5'7""",Short & Lean-  (75kg),0,375,1701
Kamal Miller,Inter Miami CF,Canada,Major League Soccer,70,CB,LB,Rare,Lengthy,400.0,0,3,3,H,H,80.0,25,58,63,69,79,"183cm | 6'0""",Average  (88kg),2,374,1657
Toti,Wolves,Portugal,Premier League,69,CB,0,Normal,Controlled,350.0,2,0,3,M,M,76.0,47,60,61,69,72,"187cm | 6'2""",High & Average  (83kg),52,385,1780
Alex Bangura,SC Cambuur,Sierra Leone,Eredivisie,69,LB,LWB,Normal,Controlled,400.0,0,2,2,H,H,94.0,30,51,64,61,78,"183cm | 6'0""",Average  (68kg),24,378,1677
Young Kwang Kim,Seongnam FC,Korea Republic,K League 1 (KOR 1),69,GK,0,Normal,Controlled,350.0,1,0,3,M,M,66.0,73,65,67,58,70,"183cm | 6'0""",Average  (87kg),0,399,920
Sammy Bossut,Zulte Waregem,Belgium,1A Pro League (BEL 1),69,GK,0,Normal,Controlled,400.0,1,0,3,M,M,67.0,70,63,68,44,73,"187cm | 6'2""",High & Average+  (80kg),3,385,874
Per Ciljan Skjelbred,Rosenborg BK,Norway,Eliteserien (NOR 1),69,CM,CDM,Normal,Controlled,500.0,0,3,3,M,M,55.0,53,68,70,66,66,"178cm | 5'10""",Lean  (74kg),1,378,1865
